Drug,ATC3
C,C04A
C,J01M
C,H05B
C,B03B
C,R06A
C,D05B
C,M02A
C,V03A
C,C02A
C,A09A
C,J01D
C,A02A
C,S01H
C,L02B
C,A11C
C,A12B
C,A07B
C,D10A
C,C05B
C,J06B
C,R05D
C,A12C
C,G03C
C,N04B
C,A03A
C,C08C
C,D05A
Vivelle-Dot,A11D
Vivelle-Dot,N02A
Vivelle-Dot,J01M
Vivelle-Dot,G03C
Vivelle-Dot,A12B
Vivelle-Dot,A06A
Vivelle-Dot,N07A
Vivelle-Dot,G02C
Vivelle-Dot,C10A
Vivelle-Dot,C09C
Vivelle-Dot,A12A
Vivelle-Dot,N05C
acetaminophen 325 mg,A12B
Tresiba FlexTouch U-100,A12C
Tresiba FlexTouch U-100,A10A
Tresiba FlexTouch U-100,N02A
Tresiba FlexTouch U-100,A12B
Tresiba FlexTouch U-100,B05C
Tresiba FlexTouch U-100,A02A
Tresiba FlexTouch U-100,N05B
capecitabine 500mg tablet,A12B
capecitabine 500mg tablet,H04A
Mg-Plus-Protein,A12B
Mg-Plus-Protein,J01E
Mg-Plus-Protein,N02B
Esomeprazole (Nexium) 40mg cap,A12B
Hiprex,A12B
Hiprex,A06A
Hiprex,A12A
Hiprex,J01D
Diltiazem,N02A
Diltiazem,A12B
Diltiazem,C05A
Diltiazem,N03A
Diltiazem,N06A
Diltiazem,C07A
Vivitrol (naltrexone microspheres),A12B
Dextrose 50% 25gm/50mL 50mL SYR,A12B
Dextrose 50% 25gm/50mL 50mL SYR,A06A
Dextrose 50% 25gm/50mL 50mL SYR,B05C
Dextrose 50% 25gm/50mL 50mL SYR,B01A
Requip XL,N05A
Requip XL,A10A
Requip XL,N02A
Requip XL,C01D
Requip XL,A12B
Requip XL,A06A
Requip XL,N03A
Requip XL,J01D
Requip XL,A02B
Requip XL,L04A
Requip XL,C07A
Requip XL,N02B
Requip XL,C09C
Requip XL,C10A
Requip XL,N04B
Requip XL,N06A
Requip XL,N05B
Requip XL,B01A
tacrolimus,A01A
tacrolimus,A10A
tacrolimus,D11A
tacrolimus,A12B
tacrolimus,B03B
tacrolimus,R06A
tacrolimus,R03A
tacrolimus,N02B
tacrolimus,J01E
tacrolimus,N06A
tacrolimus,N05B
tacrolimus,D07A
tacrolimus,B01A
dutasteride,A01A
dutasteride,A10A
dutasteride,N02A
dutasteride,A12B
dutasteride,A06A
dutasteride,A07A
dutasteride,D06B
dutasteride,N04B
dutasteride,H03A
dutasteride,N06A
dutasteride,B01A
norethindrone acetate,A12C
norethindrone acetate,A10A
norethindrone acetate,N02A
norethindrone acetate,A12B
norethindrone acetate,A06A
norethindrone acetate,N01A
norethindrone acetate,B05C
norethindrone acetate,J01D
norethindrone acetate,C01E
norethindrone acetate,A04A
norethindrone acetate,N06A
norethindrone acetate,A11G
Vitamin B-12,A12B
Vitamin B-12,B05C
Vitamin B-12,N02B
Vitamin B-12,B03B
Vitamin B-12,C07A
potas,A12B
potassium,A12B
Zirgan,A02B
Zirgan,A12B
Zirgan,C01B
Zirgan,H04A
motilium,A12B
motilium,B01A
Calcium Citrate + Vit D,A12B
Calcium Citrate + Vit D,N05B
Calcium Citrate + Vit D,B05C
Calcium Citrate + Vit D,R05C
K-DUR,A12B
cholecalciferol (vitamin D3),A06A
cholecalciferol (vitamin D3),A12B
cholecalciferol (vitamin D3),A02A
netarsudiL,A12B
netarsudiL,A12A
Gaviscon,A12B
Gaviscon,A12C
Coreg CR,B01A
Coreg CR,D11A
Coreg CR,A12B
Coreg CR,C02D
Coreg CR,D06B
Coreg CR,C07A
HYDROmorphone (Dilaudid),A12C
HYDROmorphone (Dilaudid),A10A
HYDROmorphone (Dilaudid),N05A
HYDROmorphone (Dilaudid),N02A
HYDROmorphone (Dilaudid),A01A
HYDROmorphone (Dilaudid),A10B
HYDROmorphone (Dilaudid),A12B
HYDROmorphone (Dilaudid),A06A
HYDROmorphone (Dilaudid),N01A
HYDROmorphone (Dilaudid),A07A
HYDROmorphone (Dilaudid),A02A
HYDROmorphone (Dilaudid),C09A
HYDROmorphone (Dilaudid),A04A
HYDROmorphone (Dilaudid),N03A
HYDROmorphone (Dilaudid),N05B
HYDROmorphone (Dilaudid),B01A
Dilantin Extended,A12C
Dilantin Extended,A12B
Dilantin Extended,J01D
Dilantin Extended,A07A
Dilantin Extended,R03A
Dilantin Extended,N03A
Dilantin Extended,C08C
Vasopressin (for 40units/2mL 2mL,A12B
Vasopressin (for 40units/2mL 2mL,N02B
Fentanyl 2.5mg 50mL Bag,A12C
Fentanyl 2.5mg 50mL Bag,A10A
Fentanyl 2.5mg 50mL Bag,A12B
Fentanyl 2.5mg 50mL Bag,A12A
Fentanyl 2.5mg 50mL Bag,N05C
Prenatal,N02A
Prenatal,A12B
Prenatal,C01E
Prenatal,A02A
Prenatal,B01A
Potassium Chl 20 mEq / 1000 mL NS,A12B
Temodar,A12C
Temodar,A12B
Temodar,A06A
Temodar,B05C
Temodar,J01D
Temodar,A02B
Temodar,A02A
Temodar,C07A
Temodar,N02B
Temodar,C02D
Temodar,L01A
Temodar,B01A
Prevpac,A02B
Prevpac,A12B
pramipexole,R05C
pramipexole,A12B
pramipexole,A06A
pramipexole,N02B
pramipexole,N04B
pramipexole,C07A
h,C04A
h,A11D
h,B02B
h,J01F
h,D04A
h,R01B
h,C03A
h,P03A
h,N07B
h,N05A
h,C02A
h,S01A
h,J07A
h,L04A
h,S01K
h,S01H
h,J01E
h,H03B
h,C01C
h,A12B
h,R03D
h,C01B
h,A07B
h,G02A
h,J01X
h,N02B
h,C05B
h,P01C
h,D08A
h,A12C
h,S01E
h,H03A
Dulera (mometasone-formoterol) 200-5mcg/actuation,C10A
Dulera (mometasone-formoterol) 200-5mcg/actuation,A12B
Lialda,B05C
Lialda,D04A
Lialda,N05A
Lialda,A01A
Lialda,A06A
Lialda,J01D
Lialda,A02B
Lialda,A02A
Lialda,G04C
Lialda,L01B
Lialda,A07E
Lialda,A12B
Lialda,C01E
Lialda,N02B
Lialda,C10A
Lialda,A12C
Lialda,A07D
Lialda,N06A
Lialda,A12A
Lialda,B01A
mometasone,A12C
mometasone,A10A
mometasone,D11A
mometasone,A12B
mometasone,A06A
mometasone,J01C
mometasone,A02B
mometasone,A07A
mometasone,M04A
mometasone,C07A
mometasone,N02B
mometasone,A04A
mometasone,C10A
mometasone,R05D
mometasone,B01A
Coumadin,A12C
Coumadin,C01A
Coumadin,A12B
Coumadin,A06A
Coumadin,B01A
V-C Forte,A10A
V-C Forte,N02A
V-C Forte,A12B
V-C Forte,A06A
V-C Forte,A02B
Xeloda,L01B
Xeloda,A12B
Xeloda,A06A
Xeloda,D10A
Xeloda,A02B
Xeloda,N02B
Xeloda,A04A
Xeloda,L01D
Xeloda,J05A
Xeloda,B01A
Probiotic Blend,A12B
EPINEPHrine (for dilution),A12C
EPINEPHrine (for dilution),A10A
EPINEPHrine (for dilution),N02A
EPINEPHrine (for dilution),A01A
EPINEPHrine (for dilution),A12B
EPINEPHrine (for dilution),A06A
EPINEPHrine (for dilution),N01A
EPINEPHrine (for dilution),J01D
EPINEPHrine (for dilution),A02B
EPINEPHrine (for dilution),N02B
EPINEPHrine (for dilution),A12A
AZILECT,N02A
AZILECT,A12B
AZILECT,J01D
AZILECT,A02B
AZILECT,C09A
AZILECT,C08D
AZILECT,N04B
AZILECT,N06A
AZILECT,C07A
Potassium Ch,A12B
Tipranavir,J05A
Lexiva,J05A
Viracept,J05A
etravirine,J05A
Oselt,J05A
VALTREX,J05A
ValGANCIclovir ,J05A
Ganciclovir,J05A
LaMIVudine-Zidovudine (Combivir),J05A
Selzentry,J05A
DAS181,J05A
DAS181,D07A
Tenofovir Disoproxil (Viread),J05A
Adefovir,J05A
Saquinavir (Invirase) Cap,J05A
Rimantadine,J05A
efav,J05A
Entecavir,J05A
ValGANCIclovir Oral Solution,J05A
nebivolol,A12C
nebivolol,A10A
nebivolol,A01A
nebivolol,J01M
nebivolol,C01B
nebivolol,B05C
nebivolol,D04A
nebivolol,A02B
nebivolol,A02A
nebivolol,M04A
nebivolol,C02D
nebivolol,C10A
nebivolol,J05A
Oseltam,J05A
Norvir,J05A
Norvir,N05C
ValGANCIcl,J05A
Tenofovir Disoproxil Fumarate,L04A
Tenofovir Disoproxil Fumarate,J05A
nelFINavir,J05A
Fuzeon,J05A
tenofovir disoproxil fumarate,J05A
LaMIVudine Oral Soln.,J05A
Intelence (etavirine,J05A
Stribild,A12C
Stribild,G02C
Stribild,J05A
Stribild,D06B
Isentress,J05A
Emt,J05A
Tobramycin-Dexamethasone Ophth Oint,J05A
Tobramycin-Dexamethasone Ophth Oint,J01G
cabergoline,A02B
cabergoline,G02C
cabergoline,J05A
cabergoline,B05C
emtricitabine,J05A
Gengraf,N02A
Gengraf,C01C
Gengraf,A07E
Gengraf,C01B
Gengraf,A02A
Gengraf,R06A
Gengraf,J05A
Gengraf,D07A
indinavir,J05A
Hepsera,J05A
Hepsera,B05C
Kaletra,J05A
Raltegravir,J05A
Cosopt,B02B
Cosopt,J05A
Cosopt,C07A
Combivir,J05A
desvenlafaxine,B01A
desvenlafaxine,A10A
desvenlafaxine,N02A
desvenlafaxine,C03B
desvenlafaxine,A06A
desvenlafaxine,D04A
desvenlafaxine,N05B
desvenlafaxine,N02B
desvenlafaxine,C02D
desvenlafaxine,N03A
desvenlafaxine,J05A
desvenlafaxine,N05C
Darunavir,J05A
Maraviroc,J05A
Abacavir Sulfate,J05A
emtricitabine-tenofovir (TDF),J05A
Epivir,J05A
ValGANCIclo,J05A
famc,J05A
famcic,J05A
valacyclovir,A12C
valacyclovir,J05A
valacyclovir,A12A
R,A10A
R,J04A
R,R03D
R,A07A
R,C08C
R,N04B
R,J05A
R,A12A
R,V03A
R,G03A
Tamiflu,J05A
Emtricitabine/Tenofovir Disoproxil (Truvada),J05A
Efavirenz,J05A
Efavirenz,N02B
Valganc,J05A
Ritonavir,J05A
levemir ,J05A
famciclovir,N05A
famciclovir,A06A
famciclovir,J05A
vorinostat,A12C
vorinostat,A01A
vorinostat,N05A
vorinostat,J01M
vorinostat,J02A
vorinostat,L01B
vorinostat,A06A
vorinostat,B02B
vorinostat,J01X
vorinostat,N05B
vorinostat,A04A
vorinostat,J05A
KaLETra,J05A
Bromday,N05A
Bromday,A06A
Bromday,N01A
Bromday,L04A
Bromday,G02C
Bromday,R03A
Bromday,N02B
Bromday,N06A
Bromday,J05A
lopinavir-ritonavir,J05A
Didanosine EC,J05A
Saquinavir (Invirase) tab,J05A
Asenapine,J05A
Asenapine,D04A
valganciclovir,A01A
valganciclovir,J05A
Tenofovir Disoproxil (Viread) Powder,J05A
Famcic,J05A
Viramune,J05A
Abacavir,J05A
LaM,J05A
norvir,J05A
Lopinavir-Ritonavir (Oral Soln),J05A
LaMI,J05A
Famciclovir,B02B
Famciclovir,J05A
Morphine Sulfate 2mg/1mL 1mL SYR,D06A
Morphine Sulfate 2mg/1mL 1mL SYR,A07A
Morphine Sulfate 2mg/1mL 1mL SYR,J05A
Morphine Sulfate 2mg/1mL 1mL SYR,A12A
ValGANCI,J05A
Etravirine 100mg tablet,J05A
LaMIVud,J05A
lamiVUDine,J05A
Cidofovir 1% Topical Paste,J05A
ValGANCIc,J05A
v,P01A
v,A07B
v,G02A
v,C03X
v,N01B
v,D06B
v,C10A
v,H03A
v,J05A
v,A11G
v,V03A
v,A16A
Pentoxifylline 200mg/Vit E 50IU,J05A
GS9451,J05A
Atazanavir,J05A
ValGANC,J05A
Emtricitabine Oral Solution,J05A
Indinavir Sulfate,J05A
valACYclovir,J05A
adefovir,D11A
adefovir,J05A
ketotifen,J05A
Trizivir,N05B
Trizivir,J05A
ValGANCIclovi,J05A
Famvir,A07A
Famvir,J05A
famci,J05A
OSELTAMivir,J05A
RITONAvir,J05A
Abacavir Oral Solution,J05A
Triumeq,A12C
Triumeq,A10A
Triumeq,A09A
Triumeq,A02A
Triumeq,N02B
Triumeq,J05A
Triumeq,B01A
Truvada,J05A
Truvada,R05D
Complera 200 mg-25 mg-300 mg tablet,J05A
VALACYCLOVIR,J05A
Stavudine,J05A
ValGANCIclovir,J05A
efavirenz,J05A
Ramipril,C09A
Ramipril,J05A
stavudine,J05A
Tenofovir Disoproxil Fum.,J05A
proGESTerone micronized,J05A
proGESTerone micronized,G03D
darunavir 100mg/ml susp,J05A
ValGANCIclovir Suspension,J05A
ValGANCIclovir Suspension,C03B
tipranavir,J05A
Intelence,J05A
valgan,J05A
Ritonavir (Oral Solution),J05A
sofosbuvir,A02B
sofosbuvir,D11A
sofosbuvir,J05A
Bactrim,J01E
Bactrim,J05A
Epzicom,A01A
Epzicom,N02A
Epzicom,L04A
Epzicom,J05A
Epzicom,C07A
Oseltamivir Phosphate,J05A
atazanavir,J05A
Darunavir 600mg tablet,J05A
Aptivus,J05A
Zidovudine,J05A
Cidofovir,J05A
Lamivudine-Zidovudine,J05A
Emtricitabine,J05A
Sustiva,J05A
ValACY,J05A
Sirolimus,L04A
Sirolimus,A10A
Sirolimus,J05A
ValGA,J05A
Lamivudine,J05A
Nelfinavir Mesylate,J05A
Evotaz,N05B
Evotaz,J05A
Raltegravir 400mg tablet,J05A
LamiVUDine,J05A
emtri,J05A
ritonavir,J05A
ritonavir,A11G
LaMIV,J05A
Tenofovir,J05A
RiTONAvir,J05A
Entecavir Oral Solution,J05A
raltegravir,A01A
raltegravir,J05A
ValGANCIclovir (Self Med),J05A
Enfuvirtide,J05A
Val,J05A
ValACYclovir,J05A
Emtricitabine-Tenofovir (Truvada),J05A
Ribasphere,J05A
Famc,J05A
Lopinavir-Ritonavir,J05A
Reyataz,J05A
Lamictal XR,N02A
Lamictal XR,J01M
Lamictal XR,A06A
Lamictal XR,B03B
Lamictal XR,A07A
Lamictal XR,A02A
Lamictal XR,N05B
Lamictal XR,C01E
Lamictal XR,N02B
Lamictal XR,N03A
Lamictal XR,J01E
Lamictal XR,N06A
Lamictal XR,J05A
Lamictal XR,B01A
Ziagen,J05A
didanosine,J05A
g,G03D
g,A10A
g,J02A
g,C01A
g,G03C
g,C02A
g,C01D
g,G02A
g,N07A
g,H04A
g,D07A
g,L03A
g,G01A
g,D08A
g,J05A
g,A12A
g,J01A
Emtrici,J05A
Etravirine,J05A
Fosamprenavir,J05A
Complera ,J05A
Nevirapine,J05A
Pilocarpine 1%,J05A
Pilocarpine 1%,A12A
Pilocarpine 1%,N07A
Oseltamivir,J05A
Emtricitabine-Tenofovir,J05A
LaMIVudine,J05A
Ribavirin,A05A
Ribavirin,J05A
ribavirin,M04A
ribavirin,D11A
ribavirin,J05A
Valacyclovir,J05A
ValGANCIclov,J05A
Crixivan,J05A
nilotinib,A12C
nilotinib,A10A
nilotinib,A01A
nilotinib,J02A
nilotinib,A06A
nilotinib,D06A
nilotinib,B05C
nilotinib,D04A
nilotinib,A07A
nilotinib,N02B
nilotinib,C02D
nilotinib,N06A
nilotinib,A11G
nilotinib,B01A
ciclopirox,N03A
ciclopirox,N02B
ciclopirox,C05B
ciclopirox,B01A
NovoLOG Flexpen,C09A
NovoLOG Flexpen,N02B
Prenatal Gummy,A10A
Prenatal Gummy,A06A
Prenatal Gummy,J07A
Prenatal Gummy,B05C
Prenatal Gummy,A02A
Prenatal Gummy,L02B
Prenatal Gummy,N02B
Prenatal Gummy,M03B
Prenatal Gummy,A12A
Prenatal Gummy,N05C
Meloxicam,A06A
Meloxicam,M01A
Meloxicam,N02B
biotin,A12C
biotin,A10A
biotin,A01A
biotin,A06A
biotin,A02B
biotin,A07A
biotin,A02A
biotin,N02B
biotin,R05D
biotin,B01A
omeprazole,A06A
omeprazole,D06A
omeprazole,A02B
omeprazole,N02B
omeprazole,H03A
Rectiv,N02B
Rectiv,B01A
emtricitab-rilpivirine-tenofov,J01M
emtricitab-rilpivirine-tenofov,N02A
emtricitab-rilpivirine-tenofov,N02B
Lorazepam,A11D
Lorazepam,A07A
Lorazepam,H04A
Lorazepam,N03A
Lorazepam,B03B
Lorazepam,C07A
Lorazepam,N05A
Lorazepam,N02A
Lorazepam,A06A
Lorazepam,A02B
Lorazepam,N05B
Lorazepam,C01C
Lorazepam,C01B
Lorazepam,C03D
Lorazepam,N02B
Lorazepam,C10A
Lorazepam,N05C
Lorazepam,A12C
Lorazepam,N06A
Lorazepam,B01A
Acetaminophen ,N02B
Monistat 1 Combo Pack,N02B
Nasacort,A02A
Nasacort,C09A
Nasacort,N02B
Nasacort,C02D
Nasacort,N06A
Nasacort,A03A
Patanase,N02A
Patanase,A06A
Patanase,B05C
Patanase,C01E
Patanase,R03A
Patanase,N02B
Patanase,H03A
Patanase,N05B
Patanase,B01A
Pindolol,N02B
Pindolol,A07E
Pindolol,C07A
Novolog Flexpen,A10A
Novolog Flexpen,A06A
Novolog Flexpen,A02A
Novolog Flexpen,N02B
Novolog Flexpen,C02D
Novolog Flexpen,H03A
Novolog Flexpen,C08C
brexpiprazole,J01E
brexpiprazole,A06A
brexpiprazole,N02A
brexpiprazole,N02B
perphenazine,N02B
mesalamine,A12C
mesalamine,L01B
mesalamine,A06A
mesalamine,N02B
mesalamine,N03A
mesalamine,C07A
Lyrica,N03A
Lyrica,N01A
Lyrica,R03A
Lyrica,N02B
azelastine-fluticasone,N02B
caffeine,A01A
caffeine,N02B
CarafATE 1gm/10ml Liquid,N02B
Acetaminophen Extra Strength,N02B
Acetaminophen Extra Strength,C07A
Zegerid,A12C
Zegerid,J01M
Zegerid,C01A
Zegerid,A06A
Zegerid,C05A
Zegerid,B05C
Zegerid,J01D
Zegerid,N02B
Zegerid,A04A
Zegerid,D01A
Zegerid,N06A
Zegerid,N05B
sucralfate,A10A
sucralfate,A06A
sucralfate,A02B
sucralfate,C03A
sucralfate,N02B
sucralfate,A12A
Lotemax  opth soln,N02B
Hydrocodone-Acetaminophen,N03A
Hydrocodone-Acetaminophen,A06A
Hydrocodone-Acetaminophen,N02B
Hydrocodone-Acetaminophen,B01A
Renagel,A10A
Renagel,D11A
Renagel,N02B
Renagel,V03A
HydrALAZINE,A12C
HydrALAZINE,N02B
HydrALAZINE,C02D
HydrALAZINE,C07A
oxyCODONE-acetaminophen,D07A
oxyCODONE-acetaminophen,N02B
TriNessa (28),B05C
TriNessa (28),N02B
TriNessa (28),B01A
Apri (desogestrel/ethinyl estradiol),N02A
Apri (desogestrel/ethinyl estradiol),N02B
Combigan  drops  0.2 %/0.5%,N02B
lamotrigine,A10A
lamotrigine,M01A
lamotrigine,A11G
lamotrigine,A06A
lamotrigine,S01E
lamotrigine,J01D
lamotrigine,N02B
lamotrigine,N03A
lamotrigine,J01E
lamotrigine,N06A
lamotrigine,N05B
lamotrigine,A12A
lamotrigine,B01A
hydrocodone-acetaminophen,A06A
hydrocodone-acetaminophen,J01M
hydrocodone-acetaminophen,N02B
Prenatal Vitamin,A12C
Prenatal Vitamin,M01A
Prenatal Vitamin,A06A
Prenatal Vitamin,A02A
Prenatal Vitamin,N02B
pazopanib,N02A
pazopanib,C01C
pazopanib,A06A
pazopanib,C05A
pazopanib,B05C
pazopanib,J01C
pazopanib,A02B
pazopanib,A02A
pazopanib,C09A
pazopanib,C07A
pazopanib,N02B
pazopanib,A04A
pazopanib,A12A
pazopanib,B01A
acetam,N02B
Marplan,A02A
Marplan,N02B
Inderal LA,C07A
Inderal LA,N02B
Inderal LA,B01A
Enpresse,N05A
Enpresse,A06A
Enpresse,N02B
Enpresse,B01A
Ferrous Sulfate Dried,N02B
enzalutamide (Xtandi),N02B
Insulin-Symlin,C10A
Insulin-Symlin,N02B
Ocella,A01A
Ocella,A10A
Ocella,A06A
Ocella,A02B
Ocella,N02B
Ocella,A04A
Ocella,B03B
Ocella,N06A
Ocella,N05B
Zomig,A12C
Zomig,N02A
Zomig,A06A
Zomig,N01A
Zomig,D04A
Zomig,R03A
Zomig,N02B
Zomig,N03A
Zomig,B01A
Fiasp FlexTouch U-100 Insulin,A02A
Fiasp FlexTouch U-100 Insulin,N02B
Anoro Ellipta  (umeclidinium-vilanteroL),N02B
Junel 1.5/30 (21),N02A
Junel 1.5/30 (21),A06A
Junel 1.5/30 (21),J01C
Junel 1.5/30 (21),A02B
Junel 1.5/30 (21),A02A
Junel 1.5/30 (21),N02B
Junel 1.5/30 (21),A04A
Junel 1.5/30 (21),D07A
Junel 1.5/30 (21),C07A
Zonegran 25mg CAP,N02B
Mometasone,J01C
Mometasone,C03D
Mometasone,N02B
Mometasone,A04A
Mometasone,D06B
Mometasone,B01A
Apri,A12C
Apri,A01A
Apri,N02A
Apri,A07E
Apri,A06A
Apri,N04A
Apri,D04A
Apri,A02B
Apri,C01E
Apri,A02A
Apri,N02B
Apri,N03A
Apri,H03A
Apri,A12A
zolmitriptan,N05A
zolmitriptan,A10A
zolmitriptan,N02B
zolmitriptan,N02C
Acidophilus,N05A
Acidophilus,N02A
Acidophilus,A06A
Acidophilus,N02B
Acidophilus,N05B
sevelamer HCl,N02B
naltrexone,N07B
naltrexone,A12C
naltrexone,N02B
naltrexone,H03A
naltrexone,B01A
Rasagiline,N04B
Rasagiline,A12A
Rasagiline,D07A
Rasagiline,N02B
Estradiol,G03C
Estradiol,D04A
Estradiol,A02B
Estradiol,N02B
Estradiol,J01E
Exelon (Rivastigmine) 4.6mg,N02B
Progesterone in Oil,N02B
Trileptal,A10A
Trileptal,A06A
Trileptal,N02B
Trileptal,C10A
Trileptal,N03A
Trileptal,H03A
Trileptal,R05D
Trileptal,D07A
Trileptal,B01A
Ethanol (Ethyl Alcohol),A06A
Ethanol (Ethyl Alcohol),D06A
Ethanol (Ethyl Alcohol),N02B
Ethanol (Ethyl Alcohol),B01A
ropinirole,A12C
ropinirole,N03A
ropinirole,R05D
ropinirole,A02B
ropinirole,N02B
ropinirole,N04B
ropinirole,N05B
Camrese,C10A
Camrese,N02B
Vitamin B-100 Complex,N02B
lorcaserin,N02B
Skelaxin,M03B
Skelaxin,A07A
Skelaxin,N06A
Skelaxin,N02B
Omnaris,A06A
Omnaris,N01A
Omnaris,N02B
Atropine Sulfate,A12C
Atropine Sulfate,A01A
Atropine Sulfate,J01M
Atropine Sulfate,C01D
Atropine Sulfate,D06A
Atropine Sulfate,C09A
Atropine Sulfate,N02B
Atropine Sulfate,A12A
Atropine Sulfate,A03B
PrenaPlus,A02A
PrenaPlus,N02B
LaMICtal XR,M01A
LaMICtal XR,A06A
LaMICtal XR,D04A
LaMICtal XR,A02B
LaMICtal XR,N02B
LaMICtal XR,N03A
LaMICtal XR,N06A
LaMICtal XR,A12A
LaMICtal XR,B01A
tetrabenazine,A06A
tetrabenazine,B05C
tetrabenazine,A02B
tetrabenazine,A07A
tetrabenazine,N02B
tetrabenazine,C02D
tetrabenazine,N03A
tetrabenazine,N06A
tetrabenazine,A12A
tetrabenazine,B01A
Sutent,B01A
Sutent,A12C
Sutent,N02A
Sutent,A01A
Sutent,A06A
Sutent,N06B
Sutent,C09A
Sutent,R03A
Sutent,N02B
Sutent,N05B
Sutent,N05C
estradiol,A12C
estradiol,G03C
estradiol,C01D
estradiol,A06A
estradiol,N02B
bupropion HCl,N05A
bupropion HCl,A06A
bupropion HCl,D10A
bupropion HCl,A02B
bupropion HCl,A02A
bupropion HCl,R03A
bupropion HCl,N02B
bupropion HCl,C07A
bupropion HCl,M03B
bupropion HCl,N06A
bupropion HCl,B01A
triamterene-hydrochlorothiazid,C03D
triamterene-hydrochlorothiazid,N02B
Oxycodone-Acetaminophen,N02B
Oxycodone-Acetaminophen,A04A
Junel 1/20 (21),N05A
Junel 1/20 (21),A10A
Junel 1/20 (21),A01A
Junel 1/20 (21),A02A
Junel 1/20 (21),N02B
Junel 1/20 (21),B03B
Junel 1/20 (21),N06A
Junel 1/20 (21),A12A
Junel 1/20 (21),B01A
cranberry extract-vit C 4200/40 mg,N02B
Estroven Maximum Strength,A06A
Estroven Maximum Strength,N02B
Camila 0.35mg,N02B
Pimecrolimus,A01A
Pimecrolimus,N02B
Prenatal Complete,A12C
Prenatal Complete,A10A
Prenatal Complete,N02A
Prenatal Complete,C01E
Prenatal Complete,A02A
Prenatal Complete,N02B
Prenatal Complete,A12A
Surmontil,N02B
mesalamine DR,N02B
progesterone micronized,A12C
progesterone micronized,N02A
progesterone micronized,A06A
progesterone micronized,A02A
progesterone micronized,N02B
progesterone micronized,N03A
progesterone micronized,N05B
progesterone micronized,G03D
progesterone micronized,B01A
Sportscreme,N02B
Daliresp,A10A
Daliresp,N02A
Daliresp,A07D
Daliresp,A06A
Daliresp,J01C
Daliresp,R03A
Daliresp,N02B
Daliresp,C07A
Tylenol,N02B
Nifedipine / Lidocaine Ointment,N02B
Trametinib ,N02B
ibuprofen,A12C
ibuprofen,A07E
ibuprofen,C01E
ibuprofen,A03F
ibuprofen,N02B
ibuprofen,N03A
ibuprofen,D07A
Acetaminophen w/Codeine,N02B
calcium carbonate-vitamin D3,A06A
calcium carbonate-vitamin D3,N02B
n,C04A
n,R05C
n,J01M
n,C03B
n,H05B
n,R02A
n,H04A
n,N03A
n,D05B
n,M02A
n,G03A
n,N05A
n,A01A
n,S01A
n,S01H
n,C02C
n,V04C
n,G03B
n,R03D
n,C01B
n,G02A
n,B06A
n,G02C
n,N02B
n,H02A
n,R05D
n,D07A
n,A03B
n,G03X
n,A11H
n,D06A
n,C02D
n,N02C
n,B01A
n,A11D
n,H01B
n,B02B
n,R01B
n,R06A
n,M03C
n,P02B
n,C02A
n,C05A
n,B02A
n,A09A
n,A02A
n,D01A
n,G04C
n,J01X
n,N07A
n,L01D
n,P01C
n,A16A
n,A10A
n,D11A
n,N06B
n,L01C
n,H03A
n,N06A
n,G04B
n,A03A
n,A12A
n,D05A
n,C01D
n,B03X
n,J01G
n,B05A
n,D04A
n,C03X
n,N01B
n,J01A
n,P03A
n,N07B
n,J02A
n,J07A
n,R03A
n,L02B
n,C09C
n,P01A
n,N06D
n,A07E
n,J01C
n,A04A
n,C09X
n,C01A
n,M03A
n,A14A
n,S01E
n,M05B
n,G01A
n,J04A
n,J01F
n,A07A
n,A02B
n,L04A
n,M04A
n,L01A
n,M03B
n,C01C
n,P02C
n,N04A
n,D10A
n,C03D
n,C01E
n,C10A
n,D08A
n,G03D
n,P01B
n,G03C
n,C09A
n,N04B
n,C08C
n,M01C
losartan,C09C
losartan,N02B
Icy Hot,N02B
Klor-Con 8,N02B
Klor-Con 8,A04A
diazepam,A12C
diazepam,N02A
diazepam,N05B
diazepam,N02B
Urelle,C01B
Urelle,N06A
Urelle,N02B
warfarin,N05A
warfarin,A10A
warfarin,L01X
warfarin,A06A
warfarin,J01X
warfarin,A02A
warfarin,N02B
warfarin,B01A
Stalevo 50,N04B
Stalevo 50,N02B
Repaglinide,A10B
Repaglinide,N02B
Anoro Ellipta(Umeclidium/Vilanterol),N02B
L-Methylfolate,N05B
L-Methylfolate,N02B
L-Methylfolate,A07E
Acetaminophen w/Codeine Elixir,N02B
Evoxac,N02A
Evoxac,A06A
Evoxac,N07A
Evoxac,N02B
Evoxac,H03A
Evoxac,B01A
Exelon,C07A
Exelon,N05A
Exelon,A01A
Exelon,A06A
Exelon,A02A
Exelon,J01E
Exelon,N05B
Exelon,N06D
Exelon,C01B
Exelon,C03D
Exelon,N02B
Exelon,A04A
Exelon,C10A
Exelon,A12C
Exelon,A10A
Exelon,N04B
Exelon,N06A
Exelon,C08C
Exelon,B01A
Levothyroxine Sodium,J01E
Levothyroxine Sodium,H03A
Levothyroxine Sodium,N05B
Levothyroxine Sodium,N02B
Thermotabs,M04A
Thermotabs,B05C
Thermotabs,N02B
Vesicare,A12C
Vesicare,N02A
Vesicare,J01M
Vesicare,A06A
Vesicare,A02B
Vesicare,C07A
Vesicare,N02B
Vesicare,C02D
Vesicare,C10A
Vesicare,N06A
Vesicare,G04B
